"OrderID","OrderDate","CompanyName","Country","OrderValue","ItemsInOrder","OrderSegment"
13460,"2014-02-28 14:46:27",Rancho grande,Argentina,73431.42,75,High Value
22571,"2017-11-04 22:56:37",Wellington Importadora,Brazil,69796.71,74,High Value
21669,"2014-12-04 09:35:01",Mère Paillarde,Canada,69502.71,74,High Value
14425,"2015-04-11 11:09:29",Lonesome Pine Restaurant,USA,69353.99,76,High Value
12861,"2021-01-13 04:34:29",Princesa Isabel Vinhos,Portugal,69289.37,76,High Value
17673,"2015-12-30 03:23:19",Victuailles en stock,France,68919.0,75,High Value
25500,"2020-09-07 06:05:33",Let's Stop N Shop,USA,68393.01,76,High Value
23128,"2015-09-01 15:39:24",Maison Dewey,Belgium,68263.93,76,High Value
24257,"2020-07-28 03:31:36",France restauration,France,68193.25,76,High Value
24563,"2016-02-26 06:56:19",The Cracker Box,USA,67995.82,76,High Value
15786,"2023-01-31 05:03:56",Let's Stop N Shop,USA,67869.96,74,High Value
18143,"2015-09-25 12:58:55",B's Beverages,UK,67577.08,74,High Value
13968,"2013-03-18 09:07:47",Lazy K Kountry Store,USA,67539.32,74,High Value
14108,"2020-02-01 08:36:50",Island Trading,UK,67481.87,77,High Value
23242,"2023-08-05 17:23:35",LINO-Delicateses,Venezuela,67459.35,69,High Value
17596,"2021-12-01 17:02:03",Wilman Kala,Finland,67459.24,77,High Value
11495,"2022-05-23 16:52:08",Frankenversand,Germany,67448.04,77,High Value
12771,"2015-05-10 14:57:32",Die Wandernde Kuh,Germany,67203.02,69,High Value
13502,"2020-07-16 23:26:01",Lehmanns Marktstand,Germany,67014.18,75,High Value
19272,"2023-05-17 21:15:01",Suprêmes délices,Belgium,66726.31,77,High Value
13423,"2013-05-22 12:27:43",Hungry Coyote Import Store,USA,66700.2,73,High Value
18324,"2017-06-14 06:07:57",Wellington Importadora,Brazil,66691.4,77,High Value
23435,"2022-06-22 15:50:36",Rattlesnake Canyon Grocery,USA,66588.6,73,High Value
22273,"2023-05-26 19:45:15",Romero y tomillo,Spain,66534.37,72,High Value
22256,"2022-05-01 08:02:10",Suprêmes délices,Belgium,66368.97,71,High Value
11394,"2016-06-11 23:18:44",Victuailles en stock,France,66229.86,73,High Value
11971,"2020-07-08 04:04:05",White Clover Markets,USA,66150.52,77,High Value
16261,"2019-08-18 08:08:27",Wellington Importadora,Brazil,66075.9,67,High Value
18928,"2012-10-23 02:49:16",Frankenversand,Germany,66072.06,75,High Value
20868,"2018-03-20 18:40:09",Comércio Mineiro,Brazil,66065.64,68,High Value
24058,"2022-12-12 15:27:56",Berglunds snabbköp,Sweden,66017.81,73,High Value
14195,"2013-12-09 02:49:25",LINO-Delicateses,Venezuela,65853.82,70,High Value
24189,"2015-11-03 23:16:18",Hungry Coyote Import Store,USA,65834.47,73,High Value
17028,"2013-12-08 11:47:09",Old World Delicatessen,USA,65646.3,71,High Value
21789,"2020-08-13 23:10:17",Berglunds snabbköp,Sweden,65639.11,75,High Value
11484,"2017-05-05 13:15:10",HILARION-Abastos,Venezuela,65597.97,77,High Value
14810,"2019-06-14 09:44:19",Wartian Herkku,Finland,65588.4,77,High Value
17988,"2012-09-29 20:55:08",Antonio Moreno Taquería,Mexico,65568.04,76,High Value
16186,"2013-03-19 20:37:00",Eastern Connection,UK,65563.35,74,High Value
18740,"2015-05-18 05:43:03",B's Beverages,UK,65557.55,75,High Value
25679,"2013-12-07 04:38:11",Richter Supermarkt,Switzerland,65279.25,75,High Value
13372,"2022-04-01 14:02:15",Island Trading,UK,65268.54,76,High Value
18965,"2019-08-08 01:44:21",Richter Supermarkt,Switzerland,65223.53,70,High Value
21614,"2017-07-08 13:04:55",Rancho grande,Argentina,65208.3,77,High Value
21688,"2023-02-25 04:23:48",Queen Cozinha,Brazil,65205.05,68,High Value
17513,"2016-03-17 05:14:57",Königlich Essen,Germany,65152.37,73,High Value
12846,"2017-10-19 03:11:06",Chop-suey Chinese,Switzerland,65131.96,77,High Value
14724,"2019-05-12 04:35:13",Chop-suey Chinese,Switzerland,65129.02,73,High Value
16081,"2015-08-25 16:10:32",Bottom-Dollar Markets,Canada,65050.09,72,High Value
21961,"2021-12-05 08:07:12",HILARION-Abastos,Venezuela,65047.05,77,High Value
25606,"2015-11-24 01:18:30",Frankenversand,Germany,65043.78,76,High Value
17124,"2017-08-13 20:10:48",B's Beverages,UK,64997.99,72,High Value
12708,"2015-04-29 19:40:42",Pericles Comidas clásicas,Mexico,64990.32,77,High Value
16433,"2021-12-19 03:19:14",Ana Trujillo Emparedados y helados,Mexico,64990.14,73,High Value
22033,"2014-11-20 00:12:12",Suprêmes délices,Belgium,64955.49,73,High Value
23634,"2020-03-24 07:59:51",Save-a-lot Markets,USA,64925.77,76,High Value
15464,"2014-03-11 05:13:22",Godos Cocina Típica,Spain,64911.08,75,High Value
18904,"2017-12-08 00:16:14",Océano Atlántico Ltda.,Argentina,64783.92,72,High Value
16160,"2013-08-13 11:15:33",Santé Gourmet,Norway,64662.5,76,High Value
24662,"2021-05-30 00:31:25",Wartian Herkku,Finland,64608.92,77,High Value
11880,"2015-03-20 18:03:34",Split Rail Beer & Ale,USA,64599.38,74,High Value
13895,"2021-11-06 17:51:44",B's Beverages,UK,64444.84,76,High Value
11442,"2023-03-17 08:37:34",Lehmanns Marktstand,Germany,64439.52,76,High Value
15862,"2022-11-03 06:28:32",Königlich Essen,Germany,64348.02,72,High Value
23101,"2015-01-13 06:54:07",Drachenblut Delikatessen,Germany,64279.08,75,High Value
14347,"2021-07-02 06:24:40",Lazy K Kountry Store,USA,64213.85,76,High Value
14634,"2013-09-19 03:28:18",Around the Horn,UK,64209.82,75,High Value
21490,"2019-09-26 18:48:58",Queen Cozinha,Brazil,64034.41,74,High Value
19410,"2021-08-06 13:20:26",Gourmet Lanchonetes,Brazil,64033.17,72,High Value
24777,"2023-02-17 13:47:52",Rancho grande,Argentina,63980.22,75,High Value
12420,"2022-03-20 12:57:47",Hanari Carnes,Brazil,63956.1,74,High Value
13566,"2022-02-01 01:19:32",Toms Spezialitäten,Germany,63919.95,77,High Value
19368,"2013-01-07 10:47:14",Berglunds snabbköp,Sweden,63910.19,74,High Value
15508,"2017-04-06 22:54:30",Santé Gourmet,Norway,63794.97,75,High Value
22002,"2019-10-16 22:30:46",Pericles Comidas clásicas,Mexico,63783.46,77,High Value
20708,"2014-09-30 08:22:52",Blondesddsl père et fils,France,63783.3,71,High Value
15309,"2014-03-05 22:46:19",Island Trading,UK,63769.58,75,High Value
24252,"2014-08-10 07:03:06",Chop-suey Chinese,Switzerland,63746.34,73,High Value
20677,"2013-11-26 12:23:08",France restauration,France,63738.21,76,High Value
23186,"2020-06-23 14:26:00",Toms Spezialitäten,Germany,63734.68,77,High Value
14758,"2019-12-02 02:01:21",Save-a-lot Markets,USA,63677.46,76,High Value
13933,"2018-04-06 16:32:33",Let's Stop N Shop,USA,63637.43,71,High Value
17525,"2016-01-17 04:05:46",Pericles Comidas clásicas,Mexico,63617.21,77,High Value
16613,"2013-01-30 09:50:00",France restauration,France,63611.1,73,High Value
24549,"2023-01-16 07:55:36",Folies gourmandes,France,63590.86,74,High Value
20619,"2016-10-07 06:42:16",Bólido Comidas preparadas,Spain,63531.14,72,High Value
19697,"2012-08-27 19:58:04",Simons bistro,Denmark,63519.88,72,High Value
23231,"2015-12-13 11:42:21",Island Trading,UK,63455.27,71,High Value
25420,"2015-01-06 03:14:13",Königlich Essen,Germany,63445.03,75,High Value
21692,"2022-10-30 03:59:07",HILARION-Abastos,Venezuela,63439.31,77,High Value
23442,"2015-06-22 23:15:14",Lonesome Pine Restaurant,USA,63403.68,70,High Value
21686,"2014-09-24 08:35:09",Galería del gastrónomo,Spain,63392.57,75,High Value
12547,"2015-09-11 01:52:29",Laughing Bacchus Wine Cellars,Canada,63385.01,69,High Value
14989,"2018-04-22 19:20:18",Rattlesnake Canyon Grocery,USA,63363.71,74,High Value
14893,"2018-11-23 03:12:33",Morgenstern Gesundkost,Germany,63359.72,75,High Value
18613,"2019-07-19 20:51:28",Ernst Handel,Austria,63349.51,71,High Value
17540,"2019-12-16 18:27:02",Princesa Isabel Vinhos,Portugal,63340.54,75,High Value
13392,"2017-05-25 01:00:13",Morgenstern Gesundkost,Germany,63331.54,77,High Value
14674,"2017-04-08 21:22:17",Reggiani Caseifici,Italy,63319.54,67,High Value
26273,"2023-08-02 00:22:51",Richter Supermarkt,Switzerland,63297.63,65,High Value
24926,"2014-11-01 17:57:05",Cactus Comidas para llevar,Argentina,63297.37,74,High Value
17516,"2012-11-11 13:28:39",Rancho grande,Argentina,63292.72,77,High Value
20187,"2016-12-03 01:26:24",Blauer See Delikatessen,Germany,63260.9,75,High Value
19690,"2012-12-08 05:10:50",GROSELLA-Restaurante,Venezuela,63209.35,77,High Value
20516,"2015-09-10 15:39:56",Romero y tomillo,Spain,63207.57,73,High Value
13622,"2023-10-09 17:54:26",Gourmet Lanchonetes,Brazil,63188.41,71,High Value
13834,"2016-08-26 05:47:31",Eastern Connection,UK,63159.88,74,High Value
18687,"2022-10-18 20:09:28",Folies gourmandes,France,63112.13,66,High Value
17954,"2021-04-18 19:29:00",The Big Cheese,USA,63110.64,73,High Value
21914,"2021-05-31 06:02:36",Bon app',France,63095.14,77,High Value
11890,"2021-05-25 19:54:12",Save-a-lot Markets,USA,63029.66,74,High Value
15057,"2019-04-07 23:31:50",Ernst Handel,Austria,63024.43,75,High Value
22893,"2021-07-03 10:24:01",Bólido Comidas preparadas,Spain,63012.8,77,High Value
12121,"2012-08-18 15:18:31",Du monde entier,France,62992.83,60,High Value
12033,"2016-08-06 01:15:00",Ana Trujillo Emparedados y helados,Mexico,62992.66,75,High Value
26460,"2018-05-13 16:21:09",Paris spécialités,France,62965.52,70,High Value
25980,"2023-07-24 02:31:08",Spécialités du monde,France,62873.04,76,High Value
15645,"2016-09-23 16:10:17",Santé Gourmet,Norway,62819.91,74,High Value
15194,"2018-04-16 00:58:39",Drachenblut Delikatessen,Germany,62759.8,59,High Value
18680,"2015-07-07 19:28:05",Chop-suey Chinese,Switzerland,62747.9,73,High Value
13466,"2020-03-22 07:54:49",Consolidated Holdings,UK,62745.8,77,High Value
25238,"2016-05-19 07:41:20",Hungry Owl All-Night Grocers,Ireland,62741.16,67,High Value
26339,"2022-01-02 20:48:10",Du monde entier,France,62701.89,75,High Value
15267,"2012-08-22 21:24:53",Die Wandernde Kuh,Germany,62701.37,69,High Value
25976,"2013-07-06 13:35:51",North/South,UK,62685.22,75,High Value
14385,"2017-10-06 02:09:44",Folies gourmandes,France,62684.8,74,High Value
21461,"2023-06-19 19:57:20",Lehmanns Marktstand,Germany,62622.19,76,High Value
25146,"2016-03-14 02:20:11",Vaffeljernet,Denmark,62608.47,74,High Value
19293,"2020-06-16 18:24:24",Blauer See Delikatessen,Germany,62585.33,68,High Value
22043,"2016-05-02 05:44:27",Wellington Importadora,Brazil,62567.15,77,High Value
23343,"2013-11-01 02:26:22",Around the Horn,UK,62549.06,75,High Value
18279,"2013-03-08 21:07:52",Bottom-Dollar Markets,Canada,62546.3,75,High Value
18549,"2014-03-09 20:46:44",QUICK-Stop,Germany,62525.13,69,High Value
23797,"2014-04-16 16:15:23",North/South,UK,62503.1,73,High Value
14521,"2018-10-23 23:45:26",Bon app',France,62500.2,77,High Value
18250,"2019-11-01 21:11:20",GROSELLA-Restaurante,Venezuela,62499.58,75,High Value
17679,"2013-10-17 02:40:51",Laughing Bacchus Wine Cellars,Canada,62495.37,74,High Value
12147,"2020-09-11 17:39:35",Pericles Comidas clásicas,Mexico,62472.55,77,High Value
15131,"2013-03-15 13:03:22",Bólido Comidas preparadas,Spain,62446.55,74,High Value
25191,"2013-10-09 01:19:26",Que Delícia,Brazil,62439.57,76,High Value
19124,"2023-06-28 09:25:51",Morgenstern Gesundkost,Germany,62438.9,77,High Value
22860,"2018-01-11 22:49:49",FISSA Fabrica Inter. Salchichas S.A.,Spain,62430.91,76,High Value
18819,"2019-07-19 09:30:20",Frankenversand,Germany,62429.38,76,High Value
21982,"2019-05-28 10:01:26",Santé Gourmet,Norway,62389.1,68,High Value
25372,"2020-04-12 10:33:43",Franchi S.p.A.,Italy,62380.38,70,High Value
13156,"2013-08-05 11:41:02",White Clover Markets,USA,62368.61,72,High Value
13400,"2015-08-09 17:04:48",Seven Seas Imports,UK,62337.16,74,High Value
16662,"2022-10-10 14:46:28",Hanari Carnes,Brazil,62331.84,77,High Value
13295,"2012-08-31 18:02:19",Let's Stop N Shop,USA,62322.32,76,High Value
19379,"2023-02-09 23:55:58",Trail's Head Gourmet Provisioners,USA,62304.71,77,High Value
13063,"2018-02-16 16:00:50",Lazy K Kountry Store,USA,62301.5,76,High Value
18747,"2020-10-22 15:47:28",Piccolo und mehr,Austria,62299.11,76,High Value
23943,"2016-07-23 01:03:54",Lonesome Pine Restaurant,USA,62271.37,76,High Value
23376,"2014-12-13 19:46:48",Vaffeljernet,Denmark,62249.29,71,High Value
12427,"2018-11-03 02:30:58",Spécialités du monde,France,62177.18,77,High Value
25720,"2019-01-08 17:16:25",Reggiani Caseifici,Italy,62152.37,73,High Value
15164,"2017-01-11 14:21:33",Tortuga Restaurante,Mexico,62152.2,75,High Value
20850,"2021-02-18 04:13:20",Victuailles en stock,France,62125.72,77,High Value
25508,"2016-02-13 23:21:25",Blauer See Delikatessen,Germany,62107.42,76,High Value
23729,"2021-02-13 11:11:17",Hungry Coyote Import Store,USA,62105.73,71,High Value
13200,"2022-01-15 16:37:49",La corne d'abondance,France,62059.46,75,High Value
19091,"2013-03-06 15:56:17",France restauration,France,62054.61,76,High Value
13491,"2020-03-15 06:54:12",Antonio Moreno Taquería,Mexico,62032.74,68,High Value
22284,"2021-10-09 15:36:09",Berglunds snabbköp,Sweden,61995.79,70,High Value
24738,"2023-06-07 02:34:09",Island Trading,UK,61906.02,75,High Value
26328,"2016-07-03 07:01:40",Ricardo Adocicados,Brazil,61902.02,73,High Value
16145,"2019-11-10 18:54:59",Wolski  Zajazd,Poland,61875.07,73,High Value
15947,"2023-07-02 05:58:12",Wellington Importadora,Brazil,61867.0,59,High Value
22310,"2016-05-05 02:12:44",Ottilies Käseladen,Germany,61849.97,70,High Value
14089,"2022-02-21 08:59:28",Old World Delicatessen,USA,61848.69,73,High Value
25642,"2017-01-24 19:19:11",Toms Spezialitäten,Germany,61839.09,75,High Value
